PeakID (cmd=annotatePeaks.pl bam_atac.mRp.clN_peaks.narrowPeak dm3_rel78.fa.gz -gid -gtf Drosophila_melanogaster.BDGP5.78.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
bam_atac.mRp.clN_peak_9253	3L	23841999	23842686	+	12707	NA	intron (FBgn0058470, intron 12 of 12)	protein_coding-intron (FBgn0058470, intron 12 of 12)	33900	FBgn0264569	FBgn0264569	FBtr0333471			CR43941			ncRNA
bam_atac.mRp.clN_peak_9155	3L	23108589	23110175	+	12383	NA	Intergenic	Intergenic	-9749	FBgn0053217	FBgn0053217	FBtr0070045			CG33217			protein_coding
bam_atac.mRp.clN_peak_3052	2R	751126	752705	+	7284	NA	Intergenic	Intergenic	35190	FBgn0033000	FBgn0033000	FBtr0299923			CG14464			protein_coding
bam_atac.mRp.clN_peak_9328	3L	24435759	24436485	+	6127	NA	Intergenic	Intergenic	-91067	FBgn0040045	FBgn0040045	FBtr0307117			CR12460			pseudogene
bam_atac.mRp.clN_peak_2847	2L	22413433	22415662	+	4971	NA	Intergenic	Intergenic	13778	FBgn0082980	FBgn0082980	FBtr0309749			snoRNA:Psi28S-2996			snoRNA
bam_atac.mRp.clN_peak_3053	2R	753197	754776	+	4499	NA	Intergenic	Intergenic	37261	FBgn0033000	FBgn0033000	FBtr0299923			CG14464			protein_coding
bam_atac.mRp.clN_peak_9154	3L	23106085	23108050	+	4092	NA	Intergenic	Intergenic	-12064	FBgn0053217	FBgn0053217	FBtr0070045			CG33217			protein_coding
bam_atac.mRp.clN_peak_3054	2R	755308	756228	+	4033	NA	Intergenic	Intergenic	39043	FBgn0033000	FBgn0033000	FBtr0299923			CG14464			protein_coding
bam_atac.mRp.clN_peak_15214	X	21765188	21766496	+	3862	NA	Intergenic	Intergenic	-80748	FBgn0031183	FBgn0031183	FBtr0077344			CG14621			protein_coding
bam_atac.mRp.clN_peak_13327	4	615875	616318	+	3733	NA	Intergenic	Intergenic	12255	FBgn0028996	FBgn0028996	FBtr0089104			onecut			protein_coding
bam_atac.mRp.clN_peak_9826	3R	3178990	3180626	+	3221	NA	Intergenic	Intergenic	-4534	FBgn0262982	FBgn0262982	FBtr0306818			CG43290			protein_coding
bam_atac.mRp.clN_peak_2899	2L	22787613	22788119	+	3096	NA	Intergenic	Intergenic	-29661	FBgn0002566	FBgn0002566	FBtr0111123			lt			protein_coding
bam_atac.mRp.clN_peak_14609	X	13939991	13940312	+	2753	NA	TTS (FBgn0053247)	protein_coding-TTS (FBgn0053247)	1377	FBgn0053247	FBgn0053247	FBtr0300096			Ste:CG33247			protein_coding
bam_atac.mRp.clN_peak_9833	3R	3299470	3301084	+	2625	NA	promoter-TSS (FBgn0037504)	protein_coding-promoter-TSS (FBgn0037504)	441	FBgn0065099	FBgn0065099	FBtr0091929			snRNA:7SK			snRNA
bam_atac.mRp.clN_peak_10528	3R	8302592	8304061	+	2412	NA	exon (FBgn0052865, exon 1 of 2)	ncRNA-exon (FBgn0052865, exon 1 of 2)	663	FBgn0052865	FBgn0052865	FBtr0082678			alphagamma-element:CR32865			ncRNA
bam_atac.mRp.clN_peak_13436	4	1280724	1283174	+	2378	NA	Intergenic	Intergenic	47386	FBgn0053653	FBgn0053653	FBtr0307334			Caps			protein_coding
bam_atac.mRp.clN_peak_3349	2R	2549436	2551469	+	2251	NA	promoter-TSS (FBgn0033083)	protein_coding-promoter-TSS (FBgn0033083)	677	FBgn0000054	FBgn0000054	FBtr0330251			Adf1			protein_coding
bam_atac.mRp.clN_peak_7552	3L	11546137	11546726	+	2177	NA	promoter-TSS (FBgn0259481)	protein_coding-promoter-TSS (FBgn0259481)	-686	FBgn0263569	FBgn0263569	FBtr0309721			mir-4968			pre_miRNA
bam_atac.mRp.clN_peak_9455	3R	678049	678641	+	2170	NA	promoter-TSS (FBgn0003002)	protein_coding-promoter-TSS (FBgn0003002)	-190	FBgn0003002	FBgn0003002	FBtr0078836			opa			protein_coding
bam_atac.mRp.clN_peak_5266	2R	15998549	15999304	+	2113	NA	promoter-TSS (FBgn0004364)	protein_coding-promoter-TSS (FBgn0004364)	-90	FBgn0004364	FBgn0004364	FBtr0086309			18w			protein_coding
bam_atac.mRp.clN_peak_9215	3L	23564793	23565755	+	2039	NA	intron (FBgn0250816, intron 3 of 6)	protein_coding-intron (FBgn0250816, intron 3 of 7)	16249	FBgn0250816	FBgn0250816	FBtr0301725			AGO3			protein_coding
